base_date,etf_code,etf_name,etf_type,base_index,listing_date,delisting_date,theme
20260702,A0000J0,PLUS 한화그룹주,일반,FnGuide 한화그룹주 지수,20241224,,그룹지주
20260702,A0000Z0,RISE 바이오TOP10액티브,일반,KRX 바이오 TOP 10 지수,20241224,,바이오
20260702,A0001P0,마이티 바이오시밀러&CDMO액티브,일반,FnGuide 바이오시밀러&CDMO 지수,20241224,,바이오
20260702,A0005D0,SOL 전고체배터리&실리콘음극재,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),20250107,,2차전지
20260702,A0005G0,IBK K-AI반도체코어테크,일반,FnGuide K-AI반도체 코어테크 지수,20250121,,반도체
20260702,A0007N0,아이엠에셋 200,일반,코스피 200,20250211,,코스피대표
20260702,A0008T0,SOL 화장품TOP3플러스,일반,FnGuide 화장품TOP3 플러스 지수(PR),20250121,,화장품
20260702,A0018C0,PLUS 고배당주위클리고정커버드콜,일반,코스피 고배당 위클리 고정 커버드콜 지수,20250305,,배당
20260702,A0052D0,TIGER 코리아배당다우존스,일반,Dow Jones Korea Dividend 30 지수 (Price Return),20250520,,배당
20260702,A0053M0,더제이 중소형포커스액티브,일반,코스피 200 중소형주지수,20250722,,코스피대표
20260702,A0074K0,KoAct K수출핵심기업TOP30액티브,일반,KEDI K수출핵심기업TOP30 지수(PR),20250708,,기타
20260702,A0080G0,KODEX 방산TOP10,일반,iSelect 방산 TOP10 지수(Price Return),20250715,,방산
20260702,A0080Y0,SOL 조선TOP3플러스레버리지,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,20250715,,조선
20260702,A0088N0,WON K-글로벌수급상위,일반,DeepSearch 외인수급 Top20 지수,20250812,,기타
20260702,A0089D0,KODEX 금융고배당TOP10,일반,코스피 200 금융 고배당 TOP 10 지수,20250812,,금융
20260702,A0090B0,PLUS K방산소부장,일반,Akros K방산소부장 지수(PR),20250826,,반도체
20260702,A0091P0,TIGER 코리아원자력,일반,iSelect 코리아 원자력 지수 (Price Return),20250819,,원자력
20260702,A0092B0,SOL 한국원자력SMR,일반,FnGuide 한국원자력 SMR 지수(PR),20250819,,원자력
20260702,A0093A0,RISE AI반도체TOP10,일반,FnGuide AI반도체TOP10 지수,20250826,,반도체
20260702,A0094M0,RISE 코리아밸류업위클리고정커버드콜,일반,코리아 밸류업 위클리 커버드콜 30% 지수,20250902,,배당
20260702,A0098F0,KODEX 원자력SMR,일반,iSelect 원자력SMR 지수(Price Return),20250916,,원자력
20260702,A0098N0,PLUS 자사주매입고배당주,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),20250916,,배당
20260702,A0098Z0,FOCUS 200,일반,코스피 200,20250923,,코스피대표
20260702,A0100K0,KODEX 방산TOP10레버리지,레버리지,iSelect 방산 TOP10 레버리지 지수,20250916,,방산
20260702,A0101N0,RISE AI전력인프라,일반,KRX-Akros AI 전력인프라 지수,20250923,,AI전력인프라
20260702,A0103T0,1Q K소버린AI,일반,iSelect K소버린AI 지수,20250930,,AI전력인프라
20260702,A0104G0,PLUS K방산레버리지,레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,20250930,,방산
20260702,A0104N0,TIGER 200타겟위클리커버드콜,일반,코스피 200 타겟 7% 위클리 커버드콜 지수(Price Return),20250923,,배당
20260702,A0104P0,TIGER 코리아배당다우존스위클리커버드콜,일반,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,20250923,,배당
20260702,A0105D0,SOL 한국AI소프트웨어,일반,KEDI 한국AI소프트웨어 지수(PR),20250923,,인터넷
20260702,A0105E0,SOL 코리아고배당,일반,FnGuide 코리아 고배당 지수(PR),20250923,,배당
20260702,A0111J0,HANARO 증권고배당TOP3플러스,일반,FnGuide 증권 고배당 TOP3 플러스 지수,20251028,,금융
20260702,A0112X0,마이티 200TR,일반,코스피 200 TR지수,20251028,,코스피대표
20260702,A0115D0,KODEX 조선TOP10,일반,KRX 조선 TOP10 지수,20251028,,조선
20260702,A0115E0,KODEX 코리아소버린AI,일반,KRX 코리아 소버린 AI 지수,20251021,,AI전력인프라
20260702,A0117V0,TIGER 코리아AI전력기기TOP3플러스,일반,KEDI 코리아AI전력기기TOP3플러스 지수,20251021,,AI전력인프라
20260702,A0120J0,BNK 카카오그룹포커스,일반,FnGuide 카카오그룹 포커스 지수,20251202,,그룹지주
20260702,A0138D0,RISE 동학개미,일반,FnGuide 동학개미 지수,20251216,,기타
20260702,A0139P0,ACE 고배당주,일반,KRX-Akros 고배당주 20 지수,20251216,,배당
20260702,A0141S0,SOL 조선기자재,일반,FnGuide 조선기자재 지수(PR),20251216,,조선
