,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,num_cu_20260626,num_cu_20260629,num_cu_20260630,num_cu_20260701,num_cu_20260702
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0166S0,PLUS K제조업핵심기업액티브,20260324,,일반,Akros K제조업 50 지수,73990.5,74873.25,74980.25,74391.75,67734,13830,13995,14015,13905,12780,-6.33,1.19,0.14,-0.78,-8.09,13890.11,13936.26,14070.89,13902.74,12666.13,-0.43,0.42,-0.4,0.02,0.9,5350000,5350000,5350000,5350000,5300000,50000,107,107,107,107,106
A0167A0,SOL AI반도체TOP2플러스,20260317,,일반,FnGuide AI반도체 TOP2 플러스 지수(PR),7759353.75,7830051,8185023,8180234.25,7343575,26025,25530,26670,26265,23350,-5.48,-1.9,4.47,-1.52,-11.1,25962.82,25536.59,26540.47,26255.06,23112.64,0.24,-0.03,0.49,0.04,1.03,298150000,306700000,306900000,311450000,314500000,50000,5963,6134,6138,6229,6290
A0167B0,SOL 200타겟위클리커버드콜,20260317,,일반,코스피 200 타겟 15% 위클리 커버드콜 지수,815344,856434,859536,842334,782176.5,15560,15185,15240,14935,13795,-5.3,-1.01,0.36,-2,-7.63,15244.72,15101.58,15303.46,14916.8,13645.35,2.07,0.55,-0.41,0.12,1.1,52400000,56400000,56400000,56400000,56700000,100000,524,564,564,564,567
A0168K0,TIGER 기술이전바이오액티브,20260317,,일반,KRX 기술이전바이오 지수 (PR),149109,173916.05,167272.65,165665.25,162398.25,6900,7945,7545,7575,7365,-5.74,15.14,-5.03,0.4,-2.77,6877.17,7907.81,7455.52,7596.43,7332.15,0.33,0.47,1.2,-0.28,0.45,21610000,21890000,22170000,21870000,22050000,10000,2161,2189,2217,2187,2205
A0172Y0,ACE K수출핵심TOP10산업액티브,20260331,,일반,iSelect K수출핵심산업 지수 (시장가격),10678,10811,10830,10682.75,10250.5,11240,11380,11400,11245,10790,-5.03,1.25,0.18,-1.36,-4.05,11224.93,11326.73,11380.65,11214.36,10620.49,0.13,0.47,0.17,0.27,1.6,950000,950000,950000,950000,950000,50000,19,19,19,19,19
A0176P0,FOCUS AI반도체위클리고정커버드콜,20260407,,일반,AI 반도체 위클리 고정 30% 커버드콜 지수,8500,8387.5,8800,8677.5,7675,17000,16775,17600,17355,15350,-5,0.6,4.92,-1.39,-11.55,16780.38,16674.18,17524.92,17335.61,15282.71,1.31,0.6,0.43,0.11,0.44,500000,500000,500000,500000,500000,50000,10,10,10,10,10
A0177A0,WON 두산그룹포커스,20260331,,일반,iSelect 두산그룹 포커스 지수,27005,28558.75,28393.75,29150,25194,9820,10385,10325,10600,9880,-6.21,5.75,-0.58,2.66,-6.79,9795.78,10365.23,10305.33,10559.39,9937.6,0.25,0.19,0.19,0.38,-0.58,2750000,2750000,2750000,2750000,2550000,50000,55,55,55,55,51
A0177R0,TIGER 반도체TOP10커버드콜액티브,20260421,,일반,FnGuide 반도체 TOP10 Capped 지수(Price Return),934416,944415.5,961640,939020,861400,16480,16255,16580,16190,14600,-5.15,-1.37,2,-2.35,-9.82,16473.51,16091.47,16562.46,16172.49,14290.13,0.04,1.02,0.11,0.11,2.17,56700000,58100000,58000000,58000000,59000000,100000,567,581,580,580,590
A0177X0,ACE K휴머노이드로봇산업TOP2+,20260407,,일반,Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격),101587.5,108951.25,109865,108360,102555,9450,10135,10220,10080,9540,-7.08,7.25,0.84,-1.37,-5.36,9487.03,10171.56,10200.21,10098.1,9530.03,-0.39,-0.36,0.19,-0.18,0.1,10750000,10750000,10750000,10750000,10750000,50000,215,215,215,215,215
A0182R0,1Q K반도체TOP2+,20260414,,일반,NICE K반도체 TOP2 MAX+ 지수,264193,268801.25,272874,271590.5,252296,15140,14975,15330,15005,13420,-5.26,-1.09,2.37,-2.12,-10.56,15211,14905.55,15213.47,14970.7,13162.69,-0.47,0.47,0.77,0.23,1.95,17450000,17950000,17800000,18100000,18800000,50000,349,359,356,362,376
A0184V0,UNICORN K바이오액티브,20260512,,일반,FnGuide K-바이오 밸런스드 지수,7889,9194.25,8338,8448,8052,6860,7995,7580,7680,7320,-5.38,16.55,-5.19,1.32,-4.69,6837.33,7960.4,7535.67,7655.32,7286.15,0.33,0.43,0.59,0.32,0.46,1150000,1150000,1100000,1100000,1100000,50000,23,23,22,22,22
A0189Z0,DAISHIN343 금융&지주고배당,20260609,,일반,KRX-Akros 금융&지주고배당 지수,9355,9655,9700,9795,9940,9355,9655,9700,9795,9940,-1.99,3.21,0.47,0.98,1.48,9352.6,9704.49,9711.79,9797.39,9937.23,0.03,-0.51,-0.12,-0.02,0.03,1000000,1000000,1000000,1000000,1000000,50000,20,20,20,20,20
A0190C0,RISE 현대차고정피지컬AI,20260512,,일반,KEDI 현대차고정피지컬AI 지수,577619,601699,589348,569560,563764.25,9595,9995,10040,9820,9695,-4.62,4.17,0.45,-2.19,-1.27,9605.5,9960.18,10017.85,9852.42,9675.25,-0.11,0.35,0.22,-0.33,0.2,60200000,60200000,58700000,58000000,58150000,50000,1204,1204,1174,1160,1163
A0190G0,KODEX 반도체타겟위클리커버드콜,20260512,,일반,KRX 반도체 타겟9% 분배 위클리 커버드콜 지수,212849,214230,220150,214877.5,185185,11695,11580,11900,11615,10175,-6.03,-0.3,2.76,-2.4,-12.4,11748.96,11557.77,11844.17,11651.27,10205.74,-0.46,0.19,0.47,-0.31,-0.3,18200000,18500000,18500000,18500000,18200000,100000,182,185,185,185,182
A0191B0,MIDAS 코스닥액티브,20260519,,일반,코스닥지수,6813,7067,7460,7712,6755,34065,35335,37300,38560,33775,-0.67,3.73,5.56,3.38,-12.41,33920.09,35590.26,37142.77,38234.04,34172.13,0.43,-0.72,0.42,0.85,-1.16,200000,200000,200000,200000,200000,25000,8,8,8,8,8
A0191S0,IBK 코스닥150,20260519,,일반,코스닥 150,11388.6,12417.2,12328.4,12428.3,11529.2,15390,16780,16660,16795,15580,-3.9,9.03,-0.72,0.81,-7.23,15432.62,16747.79,16645.94,16759.66,15484.42,-0.28,0.19,0.08,0.21,0.62,740000,740000,740000,740000,740000,20000,37,37,37,37,37
A0192L0,RISE SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,147106.5,145178.5,154588.25,151172,99326.25,29130,28190,28895,26995,18225,-17.54,-3.23,2.5,-6.58,-32.49,29388.22,28243.75,28974.07,26819.12,18855.87,-0.88,-0.19,-0.27,0.66,-3.35,5050000,5150000,5350000,5600000,5450000,25000,202,206,214,224,218
A0192M0,RISE 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,99734.5,97012.88,108177.63,101000,78285.63,23060,21205,22655,20000,16225,-11.46,-8.04,6.84,-11.72,-18.88,23459.6,21065.43,22537.13,19872.85,16122.7,-1.7,0.66,0.52,0.64,0.63,4325000,4575000,4775000,5050000,4825000,25000,173,183,191,202,193
A0192T0,SOL 코스닥TOP10,20260519,,일반,코스닥TOP10지수(PR),30571,34091.75,33110,31589.25,30296.5,8045,8855,8600,8205,7670,-5.41,10.07,-2.88,-4.59,-6.52,8048.91,8841.54,8561.86,8203.92,7637.18,-0.05,0.15,0.45,0.01,0.43,3800000,3850000,3850000,3850000,3950000,50000,76,77,77,77,79
A0193G0,KoAct 코스피액티브,20260519,,일반,코스피지수,30394,30114,31682.5,31727.25,29715,10855,10755,10925,10755,9905,-5.24,-0.92,1.58,-1.56,-7.9,10848.05,10740.49,10933.43,10727.2,9779.21,0.06,0.14,-0.08,0.26,1.29,2800000,2800000,2900000,2950000,3000000,50000,56,56,58,59,60
A0193K0,PLUS 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,27720,25678.13,27337.5,24131.25,19816.88,24640,22825,24300,21450,17615,-12.2,-7.37,6.46,-11.73,-17.88,25193.33,22631.27,24208.21,21375.55,17382.3,-2.2,0.86,0.38,0.35,1.34,1125000,1125000,1125000,1125000,1125000,25000,45,45,45,45,45
A0193L0,PLUS 삼성전자선물단일종목인버스2X,20260527,,인버스 2X ,KRX 삼성전자 선물 인버스 -2X 지수,47470.8,59869.5,46354.1,45150,46562.5,11635,12525,11765,13125,15625,10.65,7.65,-6.07,11.56,19.05,11377.39,12752.42,11824.96,13244.23,15817.04,2.26,-1.78,-0.51,-0.9,-1.21,4080000,4780000,3940000,3440000,2980000,20000,204,239,197,172,149
A0193T0,KODEX SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,5580744.75,5680125,5817543,5583703.13,4031854.13,34545,33660,34505,31875,22035,-17.33,-2.56,2.51,-7.62,-30.87,34941.91,33478.96,34312.91,31759.5,22253.03,-1.14,0.54,0.56,0.36,-0.98,161550000,168750000,168600000,175175000,182975000,25000,6462,6750,6744,7007,7319
A0193W0,KODEX 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,3229245.25,3322801.88,3483412.5,3188898,2674760,24970,23055,24445,21605,17600,-11.7,-7.67,6.03,-11.62,-18.54,25507.66,22757.94,24379.78,21460.87,17392.3,-2.11,1.31,0.27,0.67,1.19,129325000,144125000,142500000,147600000,151975000,25000,5173,5765,5700,5904,6079
A0194M0,ACE 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,123050,103855.5,110470.5,98049,77378.88,23000,21195,22545,20010,16205,-11.56,-7.85,6.37,-11.24,-19.02,23423.63,21023.89,22519.09,19843.3,16076.74,-1.81,0.81,0.12,0.84,0.8,5350000,4900000,4900000,4900000,4775000,25000,214,196,196,196,191
A0194N0,KIWOOM 삼성전자선물단일종목레버리지,20260527,,레버리지,KRX 삼성전자 선물 레버리지 지수,18962.63,17457,18463.5,16302,13059.75,22985,21160,22380,19760,15830,-10.89,-7.84,5.77,-11.71,-19.89,23492.11,20762.98,22299.35,19584.59,15781.55,-2.16,1.91,0.36,0.9,0.31,825000,825000,825000,825000,825000,25000,33,33,33,33,33
A0194R0,KIWOOM SK하이닉스선물단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 선물 레버리지 지수,29673,28985.25,28225,28941,19167.5,28260,27605,28225,26310,17425,-18.12,-2.32,2.25,-6.78,-33.77,28908.93,27550.96,28413.65,26167.92,18106.6,-2.24,0.2,-0.66,0.54,-3.76,1050000,1050000,1000000,1100000,1100000,25000,42,42,40,44,44
A0194T0,ACE SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,131338.13,135816,138648,121745.13,87562.75,29025,28295,28885,26905,18730,-18.24,-2.52,2.09,-6.85,-30.38,29357.14,28187.65,28911.92,26805.76,18629.94,-1.13,0.38,-0.09,0.37,0.54,4525000,4800000,4800000,4525000,4675000,25000,181,192,192,181,187
A0195R0,TIGER 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,1776193.38,1701115.25,1798164,1708217.88,1411020,23045,21145,22590,19985,16200,-11.42,-8.24,6.83,-11.53,-18.94,23466.82,20965.82,22468.99,19761.48,15999,-1.8,0.85,0.54,1.13,1.26,77075000,80450000,79600000,85475000,87100000,25000,3083,3218,3184,3419,3484
A0195S0,TIGER SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,3322151.88,3361918.5,3310304,3369965.25,2417813.5,29225,28515,29140,27030,18845,-18.16,-2.43,2.19,-7.24,-30.28,29623.89,28350.15,29084.1,26901.73,18861.27,-1.35,0.58,0.19,0.48,-0.09,113675000,117900000,113600000,124675000,128300000,25000,4547,4716,4544,4987,5132
A0197W0,SOL SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,103287.25,102565,98842.5,99252.63,71513.75,29095,28100,28650,26645,18575,-17.01,-3.42,1.96,-7,-30.29,29248.97,28063.82,28742.02,26622.41,18657.89,-0.53,0.13,-0.32,0.08,-0.44,3550000,3650000,3450000,3725000,3850000,25000,142,146,138,149,154
A0197X0,SOL SK하이닉스선물단일종목인버스2X,20260527,,인버스 2X ,KRX SK하이닉스 선물 인버스 -2X 지수,202191,152975.13,220007,152293.5,189282.75,7260,7435,7285,7830,10545,17.48,2.41,-2.02,7.48,34.67,7184.49,7547.26,7307.32,7888.66,10249.75,1.05,-1.49,-0.31,-0.74,2.88,27850000,20575000,30200000,19450000,17950000,25000,1114,823,1208,778,718
A0198B0,1Q 삼성전자선물단일종목레버리지,20260527,,레버리지,KRX 삼성전자 선물 레버리지 지수,35101.4,33150,35175,32178,27576.6,23960,22100,23450,20760,16815,-11.37,-7.76,6.11,-11.47,-19,24631.98,21853.99,23444.07,20621.37,16637.11,-2.73,1.13,0.03,0.67,1.07,1465000,1500000,1500000,1550000,1640000,5000,293,300,300,310,328
A0198D0,1Q SK하이닉스선물단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 선물 레버리지 지수,43636.45,44760.3,45922.5,43914,30138.77,30515,29940,30615,28150,19015,-18.09,-1.88,2.25,-8.05,-32.45,31217.44,29858.31,30719.48,28336.19,19757.5,-2.25,0.27,-0.34,-0.66,-3.76,1430000,1495000,1500000,1560000,1585000,5000,286,299,300,312,317
A0199C0,ACE 고배당주Plus커버드콜액티브,20260602,,일반,KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수,120125,120812.5,121125,121187.5,120750,9610,9665,9690,9695,9660,-3.42,2.33,0.26,0.05,-0.36,9418.79,9646.86,9675.06,9702.67,9604,2.03,0.19,0.15,-0.08,0.58,12500000,12500000,12500000,12500000,12500000,50000,250,250,250,250,250
A0204S0,TIGER 코스닥액티브,20260602,,일반,코스닥지수,33675.6,35821.5,36635,36795.4,33553.75,7980,8350,8500,8740,7895,-3.27,4.64,1.8,2.82,-9.67,7942.21,8325.19,8528.45,8758.94,7837.55,0.48,0.3,-0.33,-0.22,0.73,4220000,4290000,4310000,4210000,4250000,10000,422,429,431,421,425
A0207G0,SOL 우주항공밸류체인,20260616,,일반,Akros 우주항공밸류체인 지수(PR),10284.25,11712,11160,11790,10642.5,6635,7320,7440,7860,7095,-6.68,10.32,1.64,5.65,-9.73,6668.4,7315.12,7465.38,7834.07,7072.16,-0.5,0.07,-0.34,0.33,0.32,1550000,1600000,1500000,1500000,1500000,50000,31,32,30,30,30
A0208N0,IBK 코스피액티브,20260623,,일반,코스피지수,15120.25,14911,15236.5,14918.75,13531.5,9755,9620,9830,9625,8730,-5.57,-1.38,2.18,-2.09,-9.3,9729.23,9601.67,9770.95,9614.96,8756.66,0.26,0.19,0.6,0.1,-0.3,1550000,1550000,1550000,1550000,1550000,50000,31,31,31,31,31
A0209D0,KODEX 전고체배터리ESS TOP2플러스,20260623,,일반,Akros 한국 전고체 배터리 ESS TOP2 플러스 지수(Price Return),78400,89545.5,87720,88560,87715,7840,8910,8600,8640,8275,-6.22,13.65,-3.48,0.47,-4.22,7822.76,8893.82,8567.06,8635.12,8236.33,0.22,0.18,0.38,0.06,0.47,10000000,10050000,10200000,10250000,10600000,50000,200,201,204,205,212
A0209Z0,ACE 코리아AI전력TOP10,20260623,,일반,Akros 코리아 AI전력 TOP 10 지수 (시장가격),15410,16580,17496.75,18839.5,16662.75,7705,8290,8535,9190,8545,-7.56,7.59,2.96,7.67,-7.02,7685.07,8276.42,8532.35,9173.09,8517.74,0.26,0.16,0.03,0.18,0.32,2000000,2000000,2050000,2050000,1950000,50000,40,40,41,41,39
A0210A0,ACE K반도체TOP2+,20260623,,일반,KRX K-AI 반도체TOP2+지수 (시장가격),269824,289800,370477.5,448671,396735.5,10240,10080,10510,10410,9205,-5.67,-1.56,4.27,-0.95,-11.58,10222.39,10039.7,10499.26,10402.32,9086.63,0.17,0.4,0.1,0.07,1.3,26350000,28750000,35250000,43100000,43100000,50000,527,575,705,862,862
A0210E0,PLUS 200커버드콜액티브,20260623,,일반,코스피 200 위클리 고정 30% 커버드콜 지수,27286,31828.5,33082,40850,38588,9745,9645,9730,9500,8770,-5.48,-1.03,0.88,-2.36,-7.68,9721.84,9579.09,9726.83,9491.01,8675.93,0.24,0.69,0.03,0.09,1.08,2800000,3300000,3400000,4300000,4400000,100000,28,33,34,43,44
A069500,KODEX 200,20021014,,일반,코스피 200,29495486,28715357.5,29053297,28102272.5,25651004.5,137380,136415,138580,134525,123530,-5.79,-0.7,1.59,-2.93,-8.17,137505.43,136164.08,137984.1,134413.86,122805.42,-0.09,0.18,0.43,0.08,0.59,214700000,210500000,209650000,208900000,207650000,50000,4294,4210,4193,4178,4153
A069660,KIWOOM 200,20021014,,일반,코스피 200,928530,923062.5,955098,926325,860375.25,137560,136750,138420,134250,123795,-5.49,-0.59,1.22,-3.01,-7.79,137381.22,135960.64,137809.59,134231.66,122582.49,0.13,0.58,0.44,0.01,0.99,6750000,6750000,6900000,6900000,6950000,50000,135,135,138,138,139
A091160,KODEX 반도체,20060627,,일반,KRX 반도체,7082418.75,7119320.5,7154812.5,7154799,6388114,171695,169105,173450,169545,149255,-5.76,-1.51,2.57,-2.25,-11.97,171327.02,168374.06,172977.84,168819.23,147515.87,0.21,0.43,0.27,0.43,1.18,41250000,42100000,41250000,42200000,42800000,50000,825,842,825,844,856
A091170,KODEX 은행,20060627,,일반,KRX 은행,405828.5,429381,432620.5,432473.25,432386.5,13970,14580,14690,14685,15470,-3.15,4.78,0.75,-0.03,5.35,13957.91,14561.25,14620.29,14722.95,15351.39,0.09,0.13,0.48,-0.26,0.77,29050000,29450000,29450000,29450000,27950000,50000,581,589,589,589,559
A091180,KODEX 자동차,20060627,,일반,KRX 자동차,444000,461825.5,455195,450391.25,453990,29600,30995,30550,30535,30675,-3.24,4.71,-1.44,-0.05,0.46,29539.63,30867.22,30401.49,30428.75,30604.03,0.2,0.41,0.49,0.35,0.23,15000000,14900000,14900000,14750000,14800000,50000,300,298,298,295,296
A091220,TIGER 은행,20060627,,일반,KRX 은행,18882.5,19656,19870.5,19929,22449,14525,15120,15285,15330,16035,-3.3,4.1,1.09,0.29,4.6,14587.96,15213.03,15274.74,15381.17,16027.04,-0.43,-0.61,0.07,-0.33,0.05,1300000,1300000,1300000,1300000,1400000,20000,65,65,65,65,70
A091230,TIGER 반도체,20060627,,일반,KRX 반도체,1652078.7,1675684.8,1735977.6,1684445,1495872,179965,176760,183120,177310,155820,-4.26,-1.78,3.6,-3.17,-12.12,179394.27,175934.97,180981.92,176394.16,154591.98,0.32,0.47,1.18,0.52,0.79,9180000,9480000,9480000,9500000,9600000,20000,459,474,474,475,480
A100910,KIWOOM KRX100,20080123,,일반,KRX 100,59116.5,58536,58684.5,57712.5,53163,21895,21680,21735,21375,19690,-6.11,-0.98,0.25,-1.66,-7.88,21829.19,21579.51,21869.48,21259.9,19350.17,0.3,0.47,-0.61,0.54,1.76,2700000,2700000,2700000,2700000,2700000,300000,9,9,9,9,9
A102110,TIGER 200,20080403,,일반,코스피 200,12005348.25,11847654.5,11974154.5,11610235,10709697,137755,136730,138670,134300,123740,-5.65,-0.74,1.42,-3.15,-7.86,137594.89,136230.74,138067.54,134500.66,122837.06,0.12,0.37,0.44,-0.15,0.74,87150000,86650000,86350000,86450000,86550000,50000,1743,1733,1727,1729,1731
A102780,KODEX 삼성그룹,20080521,,일반,MKF 삼성그룹지수,4204746,4244161.5,4295328,4198975.5,3913140,31710,31935,32320,31595,29400,-3.18,0.71,1.21,-2.24,-6.95,31818.08,31799.75,32271.69,31623.87,29287.87,-0.34,0.43,0.15,-0.09,0.38,132600000,132900000,132900000,132900000,133100000,100000,1326,1329,1329,1329,1331
A102960,KODEX 기계장비,20080529,,일반,KRX 기계장비,19021.2,19019.8,18788,19446.8,18160.2,14410,15590,15400,15940,15390,-5.2,8.19,-1.22,3.51,-3.45,14340.79,15688.27,15421.35,15877.91,15324.86,0.48,-0.63,-0.14,0.39,0.43,1320000,1220000,1220000,1220000,1180000,20000,66,61,61,61,59
A102970,KODEX 증권,20080529,,일반,KRX 증권,762671,819975,817500,834750,790817.5,20230,21750,21800,22260,21230,-7.52,7.51,0.23,2.11,-4.63,20306.39,21771.95,21782.51,22278.62,21222.06,-0.38,-0.1,0.08,-0.08,0.04,37700000,37700000,37500000,37500000,37250000,50000,754,754,750,750,745
A104520,KIWOOM 블루칩,20080729,,일반,MKF 블루칩,16280,17050,16610,16802.5,16720,14800,15500,15100,15275,15200,-4.02,4.73,-2.58,1.16,-0.49,14740.24,15451.08,15198.19,15307.07,15177,0.41,0.32,-0.65,-0.21,0.15,1100000,1100000,1100000,1100000,1100000,100000,11,11,11,11,11
A104530,KIWOOM 코리아고배당,20080729,,일반,MKF 웰스 고배당 20,35131,36980,36926.25,37453,37560.5,16340,17200,17175,17420,17470,-2.59,5.26,-0.15,1.43,0.29,16433.98,17244.45,17077.16,17512.43,17469.38,-0.57,-0.26,0.57,-0.53,0,2150000,2150000,2150000,2150000,2150000,50000,43,43,43,43,43
A105190,ACE 200,20080925,,일반,코스피 200,2187379.25,2491125,2597056,2623902.25,2367915,138005,136875,138880,134905,124300,-5.8,-0.82,1.46,-2.86,-7.86,137907.48,136528.89,138374.14,134788.53,123105.58,0.07,0.25,0.37,0.09,0.97,15850000,18200000,18700000,19450000,19050000,50000,317,364,374,389,381
A105780,RISE 5대그룹주,20081022,,일반,MKF 5대그룹주,41600,41880,41790,41380,38970,20800,20940,20895,20690,19485,-4.61,0.67,-0.21,-0.98,-5.82,20711.81,20837.22,20995.56,20811.87,19377.39,0.43,0.49,-0.48,-0.59,0.56,2000000,2000000,2000000,2000000,2000000,200000,10,10,10,10,10
A108450,ACE 삼성그룹섹터가중,20090203,,일반,MKF SAMs SW,104385.5,106057.6,106950,105432,100015.5,45385,46112,46500,45840,43485,-4.02,1.6,0.84,-1.42,-5.14,45519.41,46087.94,46403.09,45788.71,43031.09,-0.3,0.05,0.21,0.11,1.05,2300000,2300000,2300000,2300000,2300000,100000,23,23,23,23,23
A108590,TREX 200,20090123,,일반,코스피 200,27443,27246,27639,26866,24682,137215,136230,138195,134330,123410,-5.68,-0.72,1.44,-2.8,-8.13,137110.26,135618.43,137511.93,133918.02,122246.63,0.08,0.45,0.5,0.31,0.95,200000,200000,200000,200000,200000,50000,4,4,4,4,4
A114800,KODEX 인버스,20090916,,인버스 1X ,코스피 200 선물인버스 지수,932486.7,921849.6,892889.8,922179.6,956755.8,907,912,902,927,1001,6.08,0.55,-1.1,2.77,7.98,902.79,915.62,903.28,930.51,1001.08,0.47,-0.4,-0.14,-0.38,-0.01,1028100000,1010800000,989900000,994800000,955800000,100000,10281,10108,9899,9948,9558
A117460,KODEX 에너지화학,20091012,,일반,KRX 에너지화학,24480.4,26538.4,25960.2,26479.6,25734.8,12490,13540,13245,13510,13130,-5.2,8.41,-2.18,2,-2.81,12462.13,13629.14,13214.32,13542.64,13129.7,0.22,-0.65,0.23,-0.24,0,1960000,1960000,1960000,1960000,1960000,70000,28,28,28,28,28
A117680,KODEX 철강,20091030,,일반,KRX 철강,22879.5,24780,24013.5,24265.5,23656.5,10895,11800,11435,11555,11265,-4.68,8.31,-3.09,1.05,-2.51,10883.54,11800.06,11380.59,11501.13,11298.98,0.11,0,0.48,0.47,-0.3,2100000,2100000,2100000,2100000,2100000,70000,30,30,30,30,30
A117700,KODEX 건설,20091030,,일반,KRX 건설,186756,207711,205015,214210,209475,5910,6615,6550,6910,6650,-6.26,11.93,-0.98,5.5,-3.76,5952.12,6630.35,6521.19,6913.17,6624.96,-0.71,-0.23,0.44,-0.05,0.38,31600000,31400000,31300000,31000000,31500000,100000,316,314,313,310,315
A122090,PLUS 코스피50,20100107,,일반,코스피 50,227175.15,224970.6,230958,227760,209845.5,106655,105620,106925,104000,94525,-6.03,-0.97,1.24,-2.74,-9.11,106579.7,105127.26,106592.02,103494.7,93753.07,0.07,0.47,0.31,0.49,0.82,2130000,2130000,2160000,2190000,2220000,30000,71,71,72,73,74
A122630,KODEX 레버리지,20100222,,레버리지,코스피 200 레버리지지수,8989550.5,9011045,8651958.75,8514978.25,7226598.5,199990,198700,202385,190705,160235,-12.04,-0.65,1.85,-5.77,-15.98,201407.89,196796.18,202024.6,190578.73,159809.9,-0.7,0.97,0.18,0.07,0.27,44950000,45350000,42750000,44650000,45100000,50000,899,907,855,893,902
A123310,TIGER 인버스,20100329,,인버스 1X ,코스피 200 선물인버스 지수,57505.6,58241.4,57335.8,58920.6,64071.2,1016,1029,1013,1041,1132,6.05,1.28,-1.55,2.76,8.74,1013.22,1027.58,1013.81,1044.44,1123.64,0.27,0.14,-0.08,-0.33,0.74,56600000,56600000,56600000,56600000,56600000,100000,566,566,566,566,566
A123320,TIGER 레버리지,20100409,,레버리지,코스피 200 레버리지지수,420336,395670,405180,382330,336462,200160,197835,202590,191165,160220,-11.68,-1.16,2.4,-5.64,-16.19,201541.3,196721.44,202045.71,190426.76,159718.92,-0.69,0.57,0.27,0.39,0.31,2100000,2000000,2000000,2000000,2100000,100000,21,20,20,20,21
A131890,ACE 삼성그룹동일가중,20100917,,일반,MKF SAMs EW Index,16994,17432,17262,17218,16892,42485,43580,43155,43045,42230,-2.18,2.58,-0.98,-0.25,-1.89,42315.79,43610.05,43054.42,43084.6,42084.29,0.4,-0.07,0.23,-0.09,0.35,400000,400000,400000,400000,400000,100000,4,4,4,4,4
A138520,TIGER 삼성그룹,20110307,,일반,MKF SAMs FW,179182.4,183696,183600,178891.2,168696,42260,42720,42500,41410,39050,-5.09,1.09,-0.52,-2.56,-5.7,42572.21,42501.52,42510,41390.08,38948.46,-0.73,0.51,-0.02,0.05,0.26,4240000,4300000,4320000,4320000,4320000,20000,212,215,216,216,216
A138530,TIGER LG그룹플러스,20110310,,일반,MKF LG그룹+ FW,96304,96127.8,93809.1,92601.4,92202,11575,12230,11935,11995,12100,-3.14,5.66,-2.41,0.5,0.88,11555.36,12228.61,11951.39,12018.49,12060.09,0.17,0.01,-0.14,-0.2,0.33,8320000,7860000,7860000,7720000,7620000,20000,416,393,393,386,381
A138540,TIGER 현대차그룹플러스,20110310,,일반,MKF 현대차그룹+ FW,725771.2,755956,747116,750410.4,746415,52745,55585,54935,55340,55290,-4.67,5.38,-1.17,0.74,-0.09,52834.19,55464.1,54666.18,55438.08,55402,-0.17,0.22,0.49,-0.18,-0.2,13760000,13600000,13600000,13560000,13500000,20000,688,680,680,678,675
