etf_code,etf_name,base_index,etf_type,theme
A464600,SOL 자동차소부장Fn,FnGuide 자동차소부장지수(PR),일반,반도체
A464610,SOL 의료기기소부장Fn,FnGuide 의료기기소부장지수(PR),일반,반도체
A465330,RISE 2차전지TOP10,iSelect 2차전지 TOP10 지수(PR),일반,2차전지
A465350,RISE 2차전지TOP10인버스(합성),iSelect 2차전지 TOP10 인버스 지수(PR),인버스 1X,2차전지
A466810,BNK 2차전지양극재,iSelect 2차전지양극재 지수,일반,2차전지
A466920,SOL 조선TOP3플러스,FnGuide 조선TOP3플러스지수(PR),일반,조선
A466930,SOL 자동차TOP3플러스,FnGuide 자동차TOP3플러스지수(PR),일반,자동차
A466940,TIGER 은행고배당플러스TOP10,FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),일반,금융
A469070,RISE AI&로봇,iSelect AI&로봇 지수(시장가격),일반,로봇
A469150,ACE AI반도체TOP3+,FnGuide AI 반도체 TOP3+ 지수,일반,반도체
A469170,ACE 포스코그룹포커스,FnGuide 포스코그룹포커스 지수(시장가격),일반,그룹지주
A469790,KIWOOM 코리아테크TOP10,Solactive K-TechTOP10 Index(PR),일반,AI전력인프라
A470310,UNICORN 생성형AI강소기업액티브,iSelect AI 지수,일반,기타
A471760,TIGER AI반도체핵심공정,iSelect AI반도체핵심공정지수,일반,반도체
A471780,TIGER 코리아테크액티브,KRX 정보기술,일반,AI전력인프라
A471990,KODEX AI반도체핵심장비,iSelect AI 반도체핵심장비 지수,일반,반도체
A472150,TIGER 배당커버드콜액티브,코스피 200 커버드콜 5% OTM 지수(PR 지수),일반,배당
A472720,TRUSTON 주주가치액티브,코스피 200,일반,팩터
A472840,IBK 200,코스피 200,일반,코스피대표
A474590,WON 반도체밸류체인액티브,FnGuide 반도체 밸류체인 (Price Return) 지수,일반,반도체
A475050,ACE KPOP포커스,iSelect K-POP 포커스지수(시장가격),일반,엔터
A475300,SOL 반도체전공정,FnGuide 반도체 전공정 지수(PR),일반,반도체
A475310,SOL 반도체후공정,FnGuide 반도체 후공정 지수(PR),일반,반도체
A475720,RISE 200위클리커버드콜,코스피 200 위클리 커버드콜 ATM 지수,일반,배당
A476000,UNICORN 포스트IPO액티브,iSelect 포스트 IPO 지수,일반,기타
A476260,HANARO 반도체핵심공정주도주,FnGuide 반도체 핵심공정 주도주 지수,일반,반도체
A476850,KoAct 배당성장액티브,코스피지수,일반,배당
A479850,HANARO K-뷰티,FnGuide K-뷰티 지수,일반,화장품
A482030,KoAct 반도체&2차전지핵심소재액티브,iSelect 반도체&2차전지핵심소재 지수,일반,반도체
A483020,KIWOOM 의료AI,FnGuide 의료AI 지수,일반,바이오
A484880,SOL 금융지주플러스고배당,FnGuide 금융지주플러스고배당 지수(PR),일반,금융
A486240,DAISHIN343 AI반도체&인프라액티브,FnGuide AI반도체&인프라 지수,일반,반도체
A487130,KoAct AI인프라액티브,Solactive AI인프라 지수,일반,AI전력인프라
A487240,KODEX AI전력핵심설비,iSelect AI 전력핵심설비 지수(Price Return),일반,AI전력인프라
A487750,BNK 온디바이스AI,FnGuide 온디바이스AI 지수,일반,AI전력인프라
A488080,TIGER 반도체TOP10레버리지,FnGuide 반도체TOP10레버리지(2x) 지수(PR),레버리지,반도체
A488200,KIWOOM K-2차전지북미공급망,Solactive K-Battery North America Supply Chain 지수,일반,2차전지
A488210,KIWOOM K-반도체북미공급망,Solactive K-Semiconductor North America Supply Chain 지수,일반,반도체
A489030,PLUS 고배당주위클리커버드콜,코스피 고배당 위클리 콜매도 ATM 지수,일반,배당
A490480,SOL K방산,KEDI K방산 지수(PR),일반,방산
A491220,PLUS 200TR,코스피 200 TR지수,일반,코스피대표
A491510,파워 K-주주가치액티브,FnGuide K-주주가치 지수,일반,팩터
A491700,HK 200,코스피 200,일반,코스피대표
A491820,HANARO 전력설비투자,iSelect 전력설비투자 지수,일반,AI전력인프라
A494220,UNICORN SK하이닉스밸류체인액티브,FnGuide SK하이닉스밸류체인 지수,일반,반도체
A494310,KODEX 반도체레버리지,KRX 반도체 레버리지 지수,레버리지,반도체
A494330,ACE 라이프자산주주가치액티브,FnGuide 기업가치 지수(시장가격),일반,팩터
A494670,TIGER 조선TOP10,iSelect 조선TOP10 Index(PR),일반,조선
A494890,KODEX 200액티브,코스피 200,일반,코스피대표
A495040,PLUS 코리아밸류업,코리아 밸류업 지수,일반,팩터
A495050,RISE 코리아밸류업,코리아 밸류업 지수,일반,팩터
A495060,TIME 코리아밸류업액티브,코리아 밸류업 지수,일반,팩터
A495230,KoAct 코리아밸류업액티브,코리아 밸류업 지수,일반,팩터
A495330,1Q 코리아밸류업,코리아 밸류업 지수,일반,팩터
A495550,SOL 코리아밸류업TR,코리아 밸류업 TR 지수,일반,팩터
A495750,HANARO 코리아밸류업,코리아 밸류업 지수,일반,팩터
A495850,KODEX 코리아밸류업,코리아 밸류업 지수,일반,팩터
A496080,TIGER 코리아밸류업,코리아 밸류업 지수,일반,팩터
A496090,KIWOOM 코리아밸류업,코리아 밸류업 지수,일반,팩터
A496120,ACE 코리아밸류업,코리아 밸류업 지수,일반,팩터
A496130,TRUSTON 코리아밸류업액티브,코리아 밸류업 지수,일반,팩터
A498050,HANARO 바이오코리아액티브,iSelect K-바이오헬스케어,일반,바이오
A498400,KODEX 200타겟위클리커버드콜,코스피 200 타겟 15% 위클리 커버드콜 지수,일반,배당
A498410,KODEX 금융고배당TOP10타겟위클리커버드콜,코스피 200 금융 고배당 TOP 10 타겟 15% 분배 위클리 커버드콜 지수,일반,금융
A498860,RISE 코리아금융고배당,iSelect 코리아 금융 고배당 지수,일반,금융
