,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260710,20260713,20260714,20260715,20260716,20260710,20260713,20260714,20260715,20260716,20260710,20260713,20260714,20260715,20260716,20260710,20260713,20260714,20260715,20260716,20260710,20260713,20260714,20260715,20260716,20260710,20260713,20260714,20260715,20260716,20260710,num_cu_20260710,num_cu_20260713,num_cu_20260714,num_cu_20260715,num_cu_20260716
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0000J0,PLUS 한화그룹주,20241224,,일반,FnGuide 한화그룹주 지수,109347,103943.25,,,,26670,25665,,,,5,-3.77,,,,26618.32,25720.37,,,,0.19,-0.22,,,,4100000,4050000,,,,50000,82,81,0,0,0
A0000Z0,RISE 바이오TOP10액티브,20241224,,일반,KRX 바이오 TOP 10 지수,57893.5,56197.75,,,,9730,9445,,,,0.78,-2.93,,,,9726.93,9448.36,,,,0.03,-0.04,,,,5950000,5950000,,,,50000,119,119,0,0,0
A0001P0,마이티 바이오시밀러&CDMO액티브,20241224,,일반,FnGuide 바이오시밀러&CDMO 지수,10444,10242.4,,,,9325,9145,,,,2.75,-1.93,,,,9323.74,9087.85,,,,0.01,0.63,,,,1120000,1120000,,,,40000,28,28,0,0,0
A0005D0,SOL 전고체배터리&실리콘음극재,20250107,,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),131071.5,128756.25,,,,13870,13625,,,,6.9,-1.77,,,,13847.16,13595.4,,,,0.16,0.22,,,,9450000,9450000,,,,50000,189,189,0,0,0
A0005G0,IBK K-AI반도체코어테크,20250121,,일반,FnGuide K-AI반도체 코어테크 지수,200520,170432.5,,,,55700,48695,,,,4.89,-12.58,,,,55381.48,49077.25,,,,0.58,-0.78,,,,3600000,3500000,,,,50000,72,70,0,0,0
A0007N0,아이엠에셋 200,20250211,,일반,코스피 200,109791,98982,,,,121990,109980,,,,2.47,-9.85,,,,120947.77,109037.48,,,,0.86,0.86,,,,900000,900000,,,,50000,18,18,0,0,0
A0008T0,SOL 화장품TOP3플러스,20250121,,일반,FnGuide 화장품TOP3 플러스 지수(PR),71440.5,71299,,,,14730,15170,,,,1.8,2.99,,,,14700.74,15187.88,,,,0.2,-0.12,,,,4850000,4700000,,,,50000,97,94,0,0,0
A0018C0,PLUS 고배당주위클리고정커버드콜,20250305,,일반,코스피 고배당 위클리 고정 커버드콜 지수,78880,79605,,,,10880,10980,,,,2.4,0.92,,,,10895.63,10893.29,,,,-0.14,0.8,,,,7250000,7250000,,,,50000,145,145,0,0,0
A0052D0,TIGER 코리아배당다우존스,20250520,,일반,Dow Jones Korea Dividend 30 지수 (Price Return),351554.5,349995.5,,,,15590,15590,,,,2.33,0,,,,15692.25,15583.52,,,,-0.65,0.04,,,,22550000,22450000,,,,50000,451,449,0,0,0
A0053M0,더제이 중소형포커스액티브,20250722,,일반,코스피 200 중소형주지수,6228,6050.25,,,,13840,13445,,,,5.17,-2.85,,,,13917.55,13566.67,,,,-0.56,-0.9,,,,450000,450000,,,,50000,9,9,0,0,0
A0074K0,KoAct K수출핵심기업TOP30액티브,20250708,,일반,KEDI K수출핵심기업TOP30 지수(PR),142225.5,132486.75,,,,17890,16665,,,,3.8,-6.85,,,,17857.7,16604.4,,,,0.18,0.36,,,,7950000,7950000,,,,50000,159,159,0,0,0
A0080G0,KODEX 방산TOP10,20250715,,일반,iSelect 방산 TOP10 지수(Price Return),371583,356686,,,,10865,10460,,,,5.38,-3.73,,,,10918.94,10525.56,,,,-0.49,-0.62,,,,34200000,34100000,,,,100000,342,341,0,0,0
A0080Y0,SOL 조선TOP3플러스레버리지,20250715,,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,117007,112301,,,,9670,9205,,,,6.56,-4.81,,,,9608.44,9205.54,,,,0.64,-0.01,,,,12100000,12200000,,,,100000,121,122,0,0,0
A0088N0,WON K-글로벌수급상위,20250812,,일반,DeepSearch 외인수급 Top20 지수,15526,14889,,,,11090,10635,,,,5.62,-4.1,,,,11066.23,10601.96,,,,0.21,0.31,,,,1400000,1400000,,,,50000,28,28,0,0,0
A0089D0,KODEX 금융고배당TOP10,20250812,,일반,코스피 200 금융 고배당 TOP 10 지수,238478,238203,,,,13865,13930,,,,5.88,0.47,,,,13902.45,13862.28,,,,-0.27,0.49,,,,17200000,17100000,,,,100000,172,171,0,0,0
A0090B0,PLUS K방산소부장,20250826,,일반,Akros K방산소부장 지수(PR),12528,11904,,,,7830,7440,,,,5.31,-4.98,,,,7823.14,7423.42,,,,0.09,0.22,,,,1600000,1600000,,,,50000,32,32,0,0,0
A0091P0,TIGER 코리아원자력,20250819,,일반,iSelect 코리아 원자력 지수 (Price Return),534888,500592.75,,,,15640,14745,,,,7.71,-5.72,,,,15643.05,14752.81,,,,-0.02,-0.05,,,,34200000,33950000,,,,50000,684,679,0,0,0
A0092B0,SOL 한국원자력SMR,20250819,,일반,FnGuide 한국원자력 SMR 지수(PR),119397.5,112470,,,,14650,13800,,,,7.09,-5.8,,,,14615.41,13770.75,,,,0.24,0.21,,,,8150000,8150000,,,,50000,163,163,0,0,0
A0093A0,RISE AI반도체TOP10,20250826,,일반,FnGuide AI반도체TOP10 지수,196331.25,180291.75,,,,35375,32485,,,,5.98,-8.17,,,,35305.44,32438.47,,,,0.2,0.14,,,,5550000,5550000,,,,50000,111,111,0,0,0
A0094M0,RISE 코리아밸류업위클리고정커버드콜,20250902,,일반,코리아 밸류업 위클리 커버드콜 30% 지수,162771,154198,,,,20220,18920,,,,2.38,-6.43,,,,20086.74,18206.58,,,,0.66,3.92,,,,8050000,8150000,,,,50000,161,163,0,0,0
A0098F0,KODEX 원자력SMR,20250916,,일반,iSelect 원자력SMR 지수(Price Return),203932,190580.75,,,,14995,14065,,,,7.22,-6.2,,,,14956.97,14097.99,,,,0.25,-0.23,,,,13600000,13550000,,,,50000,272,271,0,0,0
A0098N0,PLUS 자사주매입고배당주,20250916,,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),80986.5,81427.5,,,,12855,12925,,,,2.59,0.54,,,,12904.27,12833.92,,,,-0.38,0.71,,,,6300000,6300000,,,,50000,126,126,0,0,0
A0098Z0,FOCUS 200,20250923,,일반,코스피 200,77887.5,69986.25,,,,103850,93315,,,,3.32,-10.14,,,,102895.28,92789.66,,,,0.93,0.57,,,,750000,750000,,,,50000,15,15,0,0,0
A0100K0,KODEX 방산TOP10레버리지,20250916,,레버리지,iSelect 방산 TOP10 레버리지 지수,43428,40320,,,,7755,7200,,,,12.39,-7.16,,,,7740.02,7192.63,,,,0.19,0.1,,,,5600000,5600000,,,,100000,56,56,0,0,0
A0101N0,RISE AI전력인프라,20250923,,일반,KRX-Akros AI 전력인프라 지수,625746,583901.5,,,,19960,18655,,,,8.45,-6.54,,,,19963.56,18697.55,,,,-0.02,-0.23,,,,31350000,31300000,,,,50000,627,626,0,0,0
A0103T0,1Q K소버린AI,20250930,,일반,iSelect K소버린AI 지수,23835,23115,,,,7945,7705,,,,4.61,-3.02,,,,7951.24,7692.17,,,,-0.08,0.17,,,,3000000,3000000,,,,50000,60,60,0,0,0
A0104G0,PLUS K방산레버리지,20250930,,레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,17061,15980,,,,7260,6800,,,,11.69,-6.34,,,,7223.91,6737.63,,,,0.5,0.93,,,,2350000,2350000,,,,50000,47,47,0,0,0
A0104N0,TIGER 200타겟위클리커버드콜,20250923,,일반,코스피 200 타겟 7% 위클리 커버드콜 지수(Price Return),244556,222456,,,,23515,21390,,,,2.28,-9.04,,,,23496.49,21038.13,,,,0.08,1.67,,,,10400000,10400000,,,,100000,104,104,0,0,0
A0104P0,TIGER 코리아배당다우존스위클리커버드콜,20250923,,일반,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,20385,20196,,,,11325,11220,,,,3.19,-0.93,,,,11275.57,11251.89,,,,0.44,-0.28,,,,1800000,1800000,,,,100000,18,18,0,0,0
A0105D0,SOL 한국AI소프트웨어,20250923,,일반,KEDI 한국AI소프트웨어 지수(PR),16182,15876,,,,8990,8820,,,,4.29,-1.89,,,,9027.62,8785.13,,,,-0.42,0.4,,,,1800000,1800000,,,,50000,36,36,0,0,0
A0105E0,SOL 코리아고배당,20250923,,일반,FnGuide 코리아 고배당 지수(PR),549914.25,540715.25,,,,13235,13045,,,,2.28,-1.44,,,,13204.43,13041.43,,,,0.23,0.03,,,,41550000,41450000,,,,50000,831,829,0,0,0
A0111J0,HANARO 증권고배당TOP3플러스,20251028,,일반,FnGuide 증권 고배당 TOP3 플러스 지수,69920,67873,,,,15200,14755,,,,5.59,-2.93,,,,15222.57,14782.07,,,,-0.15,-0.18,,,,4600000,4600000,,,,50000,92,92,0,0,0
A0112X0,마이티 200TR,20251028,,일반,코스피 200 TR지수,38670.75,34471.75,,,,45495,40555,,,,2.88,-10.86,,,,45185.6,40730.25,,,,0.68,-0.43,,,,850000,850000,,,,50000,17,17,0,0,0
A0115D0,KODEX 조선TOP10,20251028,,일반,KRX 조선 TOP10 지수,190181.25,186438,,,,7875,7720,,,,1.94,-1.97,,,,7851.08,7694.44,,,,0.3,0.33,,,,24150000,24150000,,,,50000,483,483,0,0,0
A0115E0,KODEX 코리아소버린AI,20251021,,일반,KRX 코리아 소버린 AI 지수,67816,64435,,,,13840,13150,,,,3.94,-4.99,,,,13808.37,13151.22,,,,0.23,-0.01,,,,4900000,4900000,,,,50000,98,98,0,0,0
A0117V0,TIGER 코리아AI전력기기TOP3플러스,20251021,,일반,KEDI 코리아AI전력기기TOP3플러스 지수,1018906,933052.5,,,,19670,18030,,,,6.55,-8.34,,,,19618.73,18074.24,,,,0.26,-0.24,,,,51800000,51750000,,,,50000,1036,1035,0,0,0
A0120J0,BNK 카카오그룹포커스,20251202,,일반,FnGuide 카카오그룹 포커스 지수,10374,10224.5,,,,7980,7865,,,,5.84,-1.44,,,,7944.7,7909.39,,,,0.44,-0.56,,,,1300000,1300000,,,,50000,26,26,0,0,0
A0138D0,RISE 동학개미,20251216,,일반,FnGuide 동학개미 지수,9401,8634.5,,,,13430,12335,,,,4.68,-8.15,,,,13502.41,12376.57,,,,-0.54,-0.34,,,,700000,700000,,,,50000,14,14,0,0,0
A0139P0,ACE 고배당주,20251216,,일반,KRX-Akros 고배당주 20 지수,55100,54580,,,,13775,13645,,,,3.53,-0.94,,,,13739.98,13649.71,,,,0.25,-0.03,,,,4000000,4000000,,,,50000,80,80,0,0,0
A0141S0,SOL 조선기자재,20251216,,일반,FnGuide 조선기자재 지수(PR),65887.5,64612.5,,,,8785,8615,,,,6.94,-1.94,,,,8749.61,8594.94,,,,0.4,0.23,,,,7500000,7500000,,,,50000,150,150,0,0,0
A0148J0,TIGER 코리아휴머노이드로봇산업,20260106,,일반,KEDI 코리아 휴머노이드로봇산업 지수 (PR),551666.5,511284,,,,8855,8220,,,,5.67,-7.17,,,,8812.35,8229.99,,,,0.48,-0.12,,,,62300000,62200000,,,,50000,1246,1244,0,0,0
A0150K0,KoAct 수소전력ESS인프라액티브,20260113,,일반,FnGuide 수소전력ESS인프라 지수(PR),25795,24901.25,,,,9380,9055,,,,7.2,-3.46,,,,9389.64,9093.31,,,,-0.1,-0.42,,,,2750000,2750000,,,,50000,55,55,0,0,0
A0151P0,RISE 코리아전략산업액티브,20260120,,일반,KAP 코리아전략산업지수,185274,169059,,,,17155,15510,,,,4.73,-9.59,,,,17130.85,15457.37,,,,0.14,0.34,,,,10800000,10900000,,,,50000,216,218,0,0,0
A0152E0,SOL 배당성향탑픽액티브,20260113,,일반,FnGuide 배당성향탑픽 지수(PR),29510,29263,,,,11350,11255,,,,2.58,-0.84,,,,11364.34,11310.86,,,,-0.13,-0.49,,,,2600000,2600000,,,,50000,52,52,0,0,0
A0153K0,KODEX 주주환원고배당주,20260120,,일반,Akros 주주환원 고배당 지수 (Price Return),159705,158795,,,,12285,12215,,,,1.95,-0.57,,,,12256.51,12288.27,,,,0.23,-0.6,,,,13000000,13000000,,,,100000,130,130,0,0,0
A0154F0,WON 초대형IB&금융지주,20260120,,일반,iSelect 초대형IB&금융지주 지수,40424,40331,,,,13040,13010,,,,4.15,-0.23,,,,13092.03,13051.72,,,,-0.4,-0.32,,,,3100000,3100000,,,,50000,62,62,0,0,0
A0155N0,HANARO K휴머노이드테마TOP10,20260226,,일반,iSelect K휴머노이드테마TOP10 지수,28817.25,27469.75,,,,7485,7135,,,,3.74,-4.68,,,,7470.55,7125.99,,,,0.19,0.13,,,,3850000,3850000,,,,50000,77,77,0,0,0
A0162Y0,TIME 코스닥액티브,20260310,,일반,코스닥지수,282975,271260,,,,8250,7920,,,,11.04,-4,,,,8218.74,7873.2,,,,0.38,0.59,,,,34300000,34250000,,,,50000,686,685,0,0,0
A0163Y0,KoAct 코스닥액티브,20260310,,일반,코스닥지수,486750,464504,,,,9735,9365,,,,8.65,-3.8,,,,9730.15,9329.59,,,,0.05,0.38,,,,50000000,49600000,,,,50000,1000,992,0,0,0
A0166N0,PLUS 코스닥150액티브,20260317,,일반,코스닥 150,36295,34531.25,,,,8540,8125,,,,10.98,-4.86,,,,8539.57,8100.5,,,,0.01,0.3,,,,4250000,4250000,,,,50000,85,85,0,0,0
A0166S0,PLUS K제조업핵심기업액티브,20260324,,일반,Akros K제조업 50 지수,64761.75,57940.5,,,,12105,10830,,,,2.37,-10.53,,,,12085.66,10854.53,,,,0.16,-0.23,,,,5350000,5350000,,,,50000,107,107,0,0,0
A0167A0,SOL AI반도체TOP2플러스,20260317,,일반,FnGuide AI반도체 TOP2 플러스 지수(PR),6922321.5,5970420,,,,21270,18450,,,,3.48,-13.26,,,,21247.63,18341.11,,,,0.11,0.59,,,,325450000,323600000,,,,50000,6509,6472,0,0,0
A0167B0,SOL 200타겟위클리커버드콜,20260317,,일반,코스피 200 타겟 15% 위클리 커버드콜 지수,756324,678615,,,,13410,12075,,,,2.6,-9.96,,,,13379.07,12082.78,,,,0.23,-0.06,,,,56400000,56200000,,,,100000,564,562,0,0,0
A0168K0,TIGER 기술이전바이오액티브,20260317,,일반,KRX 기술이전바이오 지수 (PR),145515,140177.6,,,,6540,6320,,,,2.59,-3.36,,,,6511.97,6325.28,,,,0.43,-0.08,,,,22250000,22180000,,,,10000,2225,2218,0,0,0
A0172Y0,ACE K수출핵심TOP10산업액티브,20260331,,일반,iSelect K수출핵심산업 지수 (시장가격),9552.25,8939.5,,,,10055,9410,,,,2.76,-6.41,,,,10034.69,9368.44,,,,0.2,0.44,,,,950000,950000,,,,50000,19,19,0,0,0
A0176P0,FOCUS AI반도체위클리고정커버드콜,20260407,,일반,AI 반도체 위클리 고정 30% 커버드콜 지수,7232.5,6547.5,,,,14465,13095,,,,4.21,-9.47,,,,14562.12,13029.96,,,,-0.67,0.5,,,,500000,500000,,,,50000,10,10,0,0,0
A0177A0,WON 두산그룹포커스,20260331,,일반,iSelect 두산그룹 포커스 지수,22540,21070,,,,9200,8600,,,,7.41,-6.52,,,,9253.99,8617.09,,,,-0.58,-0.2,,,,2450000,2450000,,,,50000,49,49,0,0,0
A0177R0,TIGER 반도체TOP10커버드콜액티브,20260421,,일반,FnGuide 반도체 TOP10 Capped 지수(Price Return),868997.5,760496,,,,13685,11920,,,,3.52,-12.9,,,,13652.02,11676.41,,,,0.24,2.09,,,,63500000,63800000,,,,100000,635,638,0,0,0
A0177X0,ACE K휴머노이드로봇산업TOP2+,20260407,,일반,Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격),99494.5,94069.5,,,,9170,8670,,,,5.04,-5.45,,,,9151.57,8668.34,,,,0.2,0.02,,,,10850000,10850000,,,,50000,217,217,0,0,0
A0182R0,1Q K반도체TOP2+,20260414,,일반,NICE K반도체 TOP2 MAX+ 지수,285153.75,250278,,,,12425,10605,,,,3.54,-14.65,,,,12393.08,10603.64,,,,0.26,0.01,,,,22950000,23600000,,,,50000,459,472,0,0,0
A0184V0,UNICORN K바이오액티브,20260512,,일반,FnGuide K-바이오 밸런스드 지수,7062,6842,,,,6420,6220,,,,0.31,-3.12,,,,6435.63,6189.22,,,,-0.24,0.5,,,,1100000,1100000,,,,50000,22,22,0,0,0
A0189Z0,DAISHIN343 금융&지주고배당,20260609,,일반,KRX-Akros 금융&지주고배당 지수,10190,10195,,,,10190,10195,,,,2.83,0.05,,,,10300.7,10184.88,,,,-1.07,0.1,,,,1000000,1000000,,,,50000,20,20,0,0,0
A0190C0,RISE 현대차고정피지컬AI,20260512,,일반,KEDI 현대차고정피지컬AI 지수,539850,514338.75,,,,9150,8725,,,,3.74,-4.64,,,,9136.57,8756.78,,,,0.15,-0.36,,,,59000000,58950000,,,,50000,1180,1179,0,0,0
A0190G0,KODEX 반도체타겟위클리커버드콜,20260512,,일반,KRX 반도체 타겟9% 분배 위클리 커버드콜 지수,194496,174336,,,,10130,9080,,,,3.53,-10.37,,,,10122.26,9132.61,,,,0.08,-0.58,,,,19200000,19200000,,,,100000,192,192,0,0,0
A0191B0,MIDAS 코스닥액티브,20260519,,일반,코스닥지수,6543,6405,,,,32715,32025,,,,11.79,-2.11,,,,32898.48,31817.37,,,,-0.56,0.65,,,,200000,200000,,,,25000,8,8,0,0,0
A0191S0,IBK 코스닥150,20260519,,일반,코스닥 150,10752.2,10308.2,,,,14530,13930,,,,4.31,-4.13,,,,14592.58,13886.35,,,,-0.43,0.31,,,,740000,740000,,,,20000,37,37,0,0,0
A0192L0,RISE SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,104851.5,72418.5,,,,18395,12705,,,,-1.18,-30.93,,,,18432.68,12571.77,,,,-0.2,1.06,,,,5700000,5700000,,,,25000,228,228,0,0,0
A0192M0,RISE 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,66248,52304.63,,,,15680,12235,,,,3.84,-21.97,,,,15751.91,12258.91,,,,-0.46,-0.2,,,,4225000,4275000,,,,25000,169,171,0,0,0
A0192T0,SOL 코스닥TOP10,20260519,,일반,코스닥TOP10지수(PR),28400,27757,,,,7100,6770,,,,3.27,-4.65,,,,7106.56,6744.93,,,,-0.09,0.37,,,,4000000,4100000,,,,50000,80,82,0,0,0
A0193G0,KoAct 코스피액티브,20260519,,일반,코스피지수,26446,23772,,,,9445,8490,,,,2.27,-10.11,,,,9429.29,8485.13,,,,0.17,0.06,,,,2800000,2800000,,,,50000,56,56,0,0,0
A0193K0,PLUS 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,20984.25,16756.25,,,,17130,13405,,,,5.38,-21.75,,,,16989.34,13270.9,,,,0.83,1.01,,,,1225000,1250000,,,,25000,49,50,0,0,0
A0193L0,PLUS 삼성전자선물단일종목인버스2X,20260527,,인버스 2X ,KRX 삼성전자 선물 인버스 -2X 지수,45630.2,49099.5,,,,14815,18185,,,,-4.67,22.75,,,,14934.53,18351.41,,,,-0.8,-0.91,,,,3080000,2700000,,,,20000,154,135,0,0,0
A0193T0,KODEX SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,5047776,3449093.75,,,,21760,14915,,,,-0.78,-31.46,,,,21655.78,14728.52,,,,0.48,1.27,,,,231975000,231250000,,,,25000,9279,9250,0,0,0
A0193W0,KODEX 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,3043425,2355065,,,,17000,13240,,,,4.71,-22.12,,,,16994.82,13209.39,,,,0.03,0.23,,,,179025000,177875000,,,,25000,7161,7115,0,0,0
A0194M0,ACE 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,88762.5,68713.5,,,,15780,12055,,,,5.02,-23.61,,,,15692.27,12213.51,,,,0.56,-1.3,,,,5625000,5700000,,,,25000,225,228,0,0,0
A0194N0,KIWOOM 삼성전자선물단일종목레버리지,20260527,,레버리지,KRX 삼성전자 선물 레버리지 지수,13864.5,10737,,,,15405,11930,,,,4.12,-22.56,,,,15476.56,11937.6,,,,-0.46,-0.06,,,,900000,900000,,,,25000,36,36,0,0,0
A0194R0,KIWOOM SK하이닉스선물단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 선물 레버리지 지수,24426.88,16527.5,,,,17765,12020,,,,-0.86,-32.34,,,,17763.04,11968.19,,,,0.01,0.43,,,,1375000,1375000,,,,25000,55,55,0,0,0
A0194T0,ACE SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,109688.25,75876.75,,,,18435,12490,,,,-0.57,-32.25,,,,18293.07,12493.25,,,,0.78,-0.03,,,,5950000,6075000,,,,25000,238,243,0,0,0
A0195R0,TIGER 삼성전자단일종목레버리지,20260527,,레버리지,KRX 삼성전자 레버리지 지수,1665518.38,1281723.13,,,,15635,12175,,,,4.76,-22.13,,,,15632.45,12148.49,,,,0.02,0.22,,,,106525000,105275000,,,,25000,4261,4211,0,0,0
A0195S0,TIGER SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,2781337.5,1916532,,,,18450,12510,,,,-1.05,-32.2,,,,18342.33,12430.34,,,,0.59,0.64,,,,150750000,153200000,,,,25000,6030,6128,0,0,0
A0197W0,SOL SK하이닉스단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 레버리지 지수,78715,55780.88,,,,18200,12465,,,,-0.57,-31.51,,,,18115.93,12305.33,,,,0.46,1.3,,,,4325000,4475000,,,,25000,173,179,0,0,0
A0197X0,SOL SK하이닉스선물단일종목인버스2X,20260527,,인버스 2X ,KRX SK하이닉스 선물 인버스 -2X 지수,159793.5,180811.5,,,,9210,12135,,,,1.49,31.76,,,,9271.45,12368.53,,,,-0.66,-1.89,,,,17350000,14900000,,,,25000,694,596,0,0,0
A0198A0,KIWOOM 코스닥150커버드콜액티브,20260630,,일반,코스닥150 위클리고정30% 커버드콜지수,24713,25508,,,,9505,9110,,,,4.74,-4.16,,,,9478.24,9080.63,,,,0.28,0.32,,,,2600000,2800000,,,,50000,52,56,0,0,0
A0198B0,1Q 삼성전자선물단일종목레버리지,20260527,,레버리지,KRX 삼성전자 선물 레버리지 지수,31925.15,25393.5,,,,16330,12540,,,,5.05,-23.21,,,,16260.02,12538.04,,,,0.43,0.02,,,,1955000,2025000,,,,5000,391,405,0,0,0
A0198D0,1Q SK하이닉스선물단일종목레버리지,20260527,,레버리지,KRX SK하이닉스 선물 레버리지 지수,37733,26744.4,,,,19450,13110,,,,-0.49,-32.6,,,,19344.53,12923.16,,,,0.55,1.45,,,,1940000,2040000,,,,5000,388,408,0,0,0
A0199C0,ACE 고배당주Plus커버드콜액티브,20260602,,일반,KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수,124625,121875,,,,9970,9750,,,,3,-2.21,,,,9952.37,9772.4,,,,0.18,-0.23,,,,12500000,12500000,,,,50000,250,250,0,0,0
A0204S0,TIGER 코스닥액티브,20260602,,일반,코스닥지수,34268.4,33479.8,,,,7515,7310,,,,10.27,-2.73,,,,7484.19,7278.7,,,,0.41,0.43,,,,4560000,4580000,,,,10000,456,458,0,0,0
