,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
A0207G0,SOL 우주항공밸류체인,20260616,,일반,Akros 우주항공밸류체인 지수(PR),14949,13728,,,,6795,6240,,,,11.94,-8.17,,,,6767.74,6252.1,,,,0.4,-0.19,,,,2200000,2200000,,,,50000,44,44,0,0,0
A0208N0,IBK 코스피액티브,20260623,,일반,코스피지수,13175,11772.25,,,,8500,7595,,,,3.41,-10.65,,,,8441.92,7596.27,,,,0.69,-0.02,,,,1550000,1550000,,,,50000,31,31,0,0,0
A0209D0,KODEX 전고체배터리ESS TOP2플러스,20260623,,일반,Akros 한국 전고체 배터리 ESS TOP2 플러스 지수(Price Return),87464,85527,,,,7540,7310,,,,6.65,-3.05,,,,7521.16,7330.14,,,,0.25,-0.27,,,,11600000,11700000,,,,50000,232,234,0,0,0
A0209Z0,ACE 코리아AI전력TOP10,20260623,,일반,Akros 코리아 AI전력 TOP 10 지수 (시장가격),18032,17454.75,,,,7360,6845,,,,6.36,-7,,,,7392.9,6846.05,,,,-0.45,-0.02,,,,2450000,2550000,,,,50000,49,51,0,0,0
A0210A0,ACE K반도체TOP2+,20260623,,일반,KRX K-AI 반도체TOP2+지수 (시장가격),350941.5,297509.75,,,,8570,7355,,,,3.94,-14.18,,,,8559.37,7360.42,,,,0.12,-0.07,,,,40950000,40450000,,,,50000,819,809,0,0,0
A0210E0,PLUS 200커버드콜액티브,20260623,,일반,코스피 200 위클리 고정 30% 커버드콜 지수,51420,46320,,,,8570,7720,,,,1.96,-9.92,,,,8540.98,7691.08,,,,0.34,0.38,,,,6000000,6000000,,,,100000,60,60,0,0,0
A0216Z0,ACE K방산TOP5+,20260707,,일반,KRX K-AI 방산TOP5+ 지수,18460,17520,,,,9230,8760,,,,6.09,-5.09,,,,9239.35,8802.43,,,,-0.1,-0.48,,,,2000000,2000000,,,,50000,40,40,0,0,0
A069500,KODEX 200,20021014,,일반,코스피 200,26207466.5,23793493,,,,120605,108820,,,,2.47,-9.77,,,,120450.15,108583.09,,,,0.13,0.22,,,,217300000,218650000,,,,50000,4346,4373,0,0,0
A069660,KIWOOM 200,20021014,,일반,코스피 200,868644,788256.25,,,,120645,108725,,,,2.51,-9.88,,,,120303.27,108413.33,,,,0.28,0.29,,,,7200000,7250000,,,,50000,144,145,0,0,0
A091160,KODEX 반도체,20060627,,일반,KRX 반도체,6491953,5787096,,,,146380,130340,,,,4.11,-10.96,,,,145754.13,130069.81,,,,0.43,0.21,,,,44350000,44400000,,,,50000,887,888,0,0,0
A091170,KODEX 은행,20060627,,일반,KRX 은행,453172,408658.25,,,,16360,16445,,,,5.89,0.52,,,,16341.01,16515.93,,,,0.12,-0.43,,,,27700000,24850000,,,,50000,554,497,0,0,0
A091180,KODEX 자동차,20060627,,일반,KRX 자동차,447703.5,440044.5,,,,30770,29935,,,,3.9,-2.71,,,,30589.74,29898.77,,,,0.59,0.12,,,,14550000,14700000,,,,50000,291,294,0,0,0
A091220,TIGER 은행,20060627,,일반,KRX 은행,23912,24276,,,,17080,17340,,,,5.82,1.52,,,,17056.6,17231.51,,,,0.14,0.63,,,,1400000,1400000,,,,20000,70,70,0,0,0
